english,polish
you,ty
i,i
the,.
to,do
a,a
s,s
it,to
and,oraz
that,że
t,t
of,z
is,jest
in,w
what,Co
we,my
me,ja
this,ten
he,on
for,dla
my,mój
on,na 
have,mieć
your,twój
do,robić
was,był
m,m
no,nie
not,nie
be,być
are,są
don,przywdziewać
re,odnośnie
know,wiedzieć
can,Móc
with,z
but,ale
all,wszystko
so,więc
just,tylko
there,tam
here,tutaj
they,one
like,tak jak
ll,ll
get,Dostawać
she,Ona
go,iść
if,jeśli
right,prawo
out,na zewnątrz
about,o
up,w górę
at,w
him,jego
now,Teraz
oh,oh
one,jeden
come,chodź
well,dobrze
her,ją
how,Jak
yeah,tak
ve,ve
will,będzie
got,dostał
want,chcieć
think,myśleć
as,jak
see,Widzieć
did,zrobił
good,Dobry
who,kto
why,czemu
from,z
let,wynajmować
his,jego
yes,tak
when,gdy
going,pójście
time,czas
an,jakiś
okay,w porządku
back,plecy
look,wyglądać
us,nas
would,zrobiłbym
them,ich
where,gdzie
were,byli
take,Brać
then,następnie
had,miał
or,lub
been,został
our,nasz
gonna,zamierzać
tell,powiedzieć
really,naprawdę
man,facet
some,niektóre
say,mówić
hey,Siema
could,mógłby
d,d
didn,Didn
by,za pomocą
need,potrzebować
something,coś
has,ma
too,także
more,jeszcze
way,droga
down,na dół
make,robić
very,bardzo
never,nigdy
only,tylko
people,ludzie
over,koniec
because,dlatego
little,mały
please,Proszę
love,kocham
should,powinien
mean,oznaczać
said,powiedział
sorry,przepraszam
give,dawać
off,wyłączony
am,jestem  
thank,dziękować
any,każdy
two,dwa
even,nawet
much,dużo
doing,czyn
sure,Jasne
thing,rzecz
these,te
help,Wsparcie
first,pierwszy
into,w
anything,byle co
still,nadal
find,odnaleźć
life,życie
nothing,nic
sir,Pan
day,dzień
god,bóg
work,praca
their,ich
uh,Uh
again,ponownie
maybe,być może
must,musi
before,zanim
other,inny
wait,czekać
stop,Zatrzymaj się
call,połączenie
after,po
won,wygrał
talk,rozmowa
away,z dala
than,niż
thought,myśl
home,Dom
night,noc
put,położyć
great,Świetnie
those,tych
last,ostatni
better,lepiej
everything,wszystko
told,powiedział
mr.,Pan.
new,Nowy
things,rzeczy
always,zawsze
keep,trzymać
long,długie
years,lata
leave,Odejdź
does,czy
money,pieniądze
around,na około
doesn,czyn
name,Nazwa
place,miejsce
ever,zawsze
feel,czuć
guys,chłopaki
father,ojciec
guy,facet
made,zrobiony
old,stary
isn,Isn
which,który
big,duża
lot,działka
done,Gotowe
hello,Witam
nice,ładny
believe,uważać
girl,dziewczyna
someone,ktoś
fine,Cienki
thanks,Dziękuję
wanted,poszukiwany
kind,uprzejmy
coming,nadchodzący
house,dom
every,każdy
ok,ok
through,poprzez
being,istnienie
course,kurs
stay,zostawać
left,lewy
dad,tata
enough,wystarczająco 
happened,stało się
came,przyszło
may,może
mother,matka
wrong,zło
world,świat
bad,zły
might,móc
three,trzy
today,Dziś
listen,słuchać
another,inne
understand,Rozumiesz
hear,słyszeć
remember,Zapamiętaj
ask,zapytać się
own,własny
same,to samo
show,pokazać
else,w przeciwnym razie
kill,zabić
talking,mówić
found,znaleziony
next,następny
getting,dostawanie
care,opieka
car,samochód
looking,patrząc
son,syn
try,próbować
woman,kobieta
went,wszedł 
hi,cześć
dead,nie żyje
many,wiele
mind,umysł
wasn,był
friend,przyjaciel
best,Najlepsza
mom,mama
hell,piekło
morning,rano
trying,próbować
boy,chłopak
together,razem
yourself,się
job,stanowisko
saw,widział
family,rodzina
real,prawdziwy
without,bez
baby,Dziecko
room,Pokój
wouldn,by
already,już
move,ruszaj się
most,bardzo
seen,widziany
live,relacja na żywo
miss,tęsknić
actually,Właściwie
huh,Huh
shit,gówno
both,Zarówno
heard,usłyszał
once,raz
ready,gotowy
head,głowa
called,nazywa
used,używany
idea,pomysł
knew,Wiedziałem
hold,utrzymać
happy,szczęśliwy
door,drzwi
such,taki
fuck,pierdolić
brother,brat
also,Również
pretty,ładny
bit,fragment
took,wzięła
haven,przystań
yet,już
men,mężczyźni
whole,cały
start,początek
use,posługiwać się
while,podczas gdy
since,odkąd
wife,żona
days,dni
guess,zgadywać
tomorrow,jutro
matter,materiał
meet,spotykać się
bring,przynieść
tonight,dziś wieczorem
everyone,każdy
run,biegać
wanna,chcieć
hard,ciężko
ah,Ah
alone,sam
myself,ja
school,szkoła
gone,odszedł
um,um
end,koniec
saying,powiedzenie
phone,telefon
play,bawić się
looks,Wygląd
couldn,Czy mógł
fucking,pierdolony
problem,problem
few,mało
friends,przyjaciele
gotta,musieć
ago,temu
open,otwarty
anyone,ktokolwiek
killed,zabity
hope,nadzieja
face,Twarz
until,aż do
lost,Stracony
police,Policja
excuse,wymówka
turn,skręcać
business,biznes
case,walizka
wants,chce
says,mówi
TRUE,PRAWDA
die,umierać
heart,serce
soon,wkrótce
each,każdy
worry,martwić się
later,później
year,rok
watch,zegarek
music,muzyka
hand,ręka
having,mający
probably,prawdopodobnie
beautiful,piękny
doctor,lekarz
sit,siedzieć
eat,jeść
thinking,myślący
young,młody
second,druga
working,pracujący
water,woda
person,osoba
part,część
kids,Dzieci
late,późno
stuff,rzeczy
exactly,dokładnie
under,pod 
death,śmierć
minute,minuta
pay,płacić
crazy,zwariowany
forget,zapominać
everybody,wszyscy
kid,dziecko
change,zmiana
gave,dał
happen,zdarzyć
damn,cholerny
five,pięć
drink,drink
far,daleko
knows,wie
its,jego
whatever,cokolwiek
eyes,oczy
shut,zamknąć
aren,Aren
hit,uderzyć
taking,nabierający
easy,łatwo
times,czasy
check,sprawdzać
hands,ręce
minutes,minuty
deal,sprawa
different,różne
means,oznacza
point,punkt
inside,w środku
makes,robi
asked,spytał
somebody,ktoś
mine,moje
making,zrobienie
body,ciało
afraid,przestraszony
sleep,spać
chance,szansa
dear,droga
quite,całkiem
four,cztery
anyway,w każdym razie
close,blisko
ain,ain
party,przyjęcie
fun,zabawa
against,przeciwko
word,słowo
comes,pochodzi
important,ważny
set,ustawić
shall,być
story,fabuła
number,numer
daughter,córka
least,najmniej
waiting,Czekanie
hurt,zraniony
wish,życzenie
moment,za chwilę
fight,walka
week,tydzień
husband,mąż
girls,dziewczyny
rest,reszta
married,żonaty
fire,ogień
game,gra
nobody,nikt
mr,Pan
children,dzieci
side,bok
stand,stoisko
read,czytać
though,chociaż
cut,skaleczenie
started,zaczęła się
sister,siostra
supposed,przypuszczalny
between,pomiędzy
child,dziecko
goes,idzie
hours,godziny
speak,mówić
women,kobiety
behind,za
almost,prawie
truth,prawda
blood,krew
able,zdolny
lady,dama
anymore,nie więcej
playing,gra
gets,dostaje
shot,strzał
reason,powód
trouble,kłopot
break,przerwanie
war,wojna
city,Miasto
walk,spcerować
town,miasto
trust,zaufanie
dr.,dr.
met,spotkał
office,gabinet
question,pytanie
brought,przyniósł
yours,Twój
welcome,Witam
high,wysoki
wow,wow
couple,para
half,połowa
died,zmarł
cool,Fajny
free,darmowy
either,zarówno
seems,wydaje się
power,moc
whoa,Whoa
bye,PA
buy,Kup
telling,wymowny
honey,miód
tried,wypróbowany
front,przód
team,zespół
answer,odpowiadać
gun,pistolet
boys,chłopcy
line,linia
send,wysłać
news,Aktualności
stupid,głupi
bed,łóżko
hurry,spieszyć się
full,pełny
months,miesiące
save,ratować
sometimes,czasami
become,stać się
along,przed siebie
hate,nienawidzić
food,jedzenie
outside,poza
light,światło
l,L
needs,wymagania
dog,pies
country,kraj
clear,jasne
order,zamówienie
em,em
fact,fakt
lord,Lord
captain,kapitan
six,sześć
hot,gorący
funny,zabawny
black,czarny
mrs.,Pani.
alive,żywy
pick,wybierać
feeling,uczucie
living,żyjący
cause,przyczyna
ahead,dalej
lose,stracić
king,król
plan,plan
dinner,obiad
sighs,wzdycha
sort,sortować
leaving,odjazd
shouldn,powinien
running,działanie
boss,szef
alright,w porządku
promise,obietnica
taken,zajęty
safe,bezpieczny
ma,mama
book,książka
sent,wysłano
white,biały
hour,godzina
anybody,ktoś
small,mały
perfect,idealny
cause,przyczyna
lives,zyje
special,specjalny
parents,rodzice
s,s
john,Jan
himself,samego siebie
perhaps,być może
sounds,Dźwięki
serious,poważny
sick,chory
company,firma
ha,ha
scared,przestraszony
uncle,wujek
poor,słaby
red,czerwony
past,po
earth,Ziemia
possible,możliwy
shoot,strzelać
touch,dotykać
sound,dźwięk
top,Top
ass,tyłek
laughs,śmiech
cannot,Nie mogę
asking,pytając
win,wygrać
glad,zadowolony
control,kontrola
hmm,Hmm
human,człowiek
drive,prowadzić
hair,włosy
jack,Jacek
bitch,suka
luck,szczęście
murder,morderstwo
happens,dzieje się
air,powietrze
ten,dziesięć
daddy,tatuś
finally,wreszcie
chuckles,Chichocze
fast,szybki
cold,przeziębienie
seem,wydać się
laughing,śmiać się
words,słowa
hospital,szpital
street,ulica
hang,powiesić
dance,taniec
meeting,spotkanie
till,do
others,inni
catch,złapać
follow,śledzić
sense,sens
sex,seks
